device,model_size,precision,seq_len,batch,mean_latency_sec,p50_sec,p95_sec,throughput_tokens_sec,wall_time_sec,estimated_flops,achieved_tflops
cuda,Small,fp32,196,1,0.001608,0,0.008844,121893.09,0.0161,376320000,0.234
cuda,Small,fp32,196,8,0.005717,0.005636,0.013754,274263.27,0.0572,3010560000,0.5266
cuda,Small,fp32,196,32,0.024237,0.018777,0.050211,258780.82,0.2424,12042240000,0.4969
cuda,Small,fp32,576,1,0.002488,0.002034,0.005316,231516.32,0.0249,1274019840,0.5121
cuda,Small,fp32,576,8,0.016503,0.015188,0.039378,279215.5,0.165,10192158720,0.6176
cuda,Small,fp32,576,32,0.074943,0.061263,0.154823,245945.37,0.7494,40768634880,0.544
cuda,Small,fp32,1024,1,0.004942,0.003952,0.013159,207207.06,0.0494,2617245696,0.5296
cuda,Small,fp32,1024,8,0.03672,0.031243,0.071859,223094.9,0.3672,20937965568,0.5702
cuda,Small,fp32,1024,32,0.155406,0.119202,0.319329,210853.47,1.5541,83751862272,0.5389
cuda,Small,fp16,196,1,0.00399,0.002934,0.008782,49120.09,0.0399,376320000,0.0943
cuda,Small,fp16,196,8,0.027234,0.021649,0.060859,57574.17,0.2723,3010560000,0.1105
cuda,Small,fp16,196,32,0.096726,0.075017,0.197661,64842.87,0.9673,12042240000,0.1245
cuda,Small,fp16,576,1,0.010184,0.008277,0.023258,56559.17,0.1018,1274019840,0.1251
cuda,Small,fp16,576,8,0.075824,0.05829,0.156571,60772.64,0.7582,10192158720,0.1344
cuda,Small,fp16,576,32,0.293062,0.225686,0.601291,62894.48,2.9306,40768634880,0.1391
cuda,Small,fp16,1024,1,0.018972,0.016446,0.037314,53973.56,0.1897,2617245696,0.138
cuda,Small,fp16,1024,8,0.143806,0.11122,0.296572,56965.82,1.4381,20937965568,0.1456
cuda,Small,fp16,1024,32,0.570014,0.438931,1.164311,57486.26,5.7001,83751862272,0.1469
cuda,Base,fp32,196,1,0.004353,0.002005,0.013757,45026.19,0.0435,1446273024,0.3322
cuda,Base,fp32,196,8,0.019846,0.016038,0.039904,79008.61,0.1985,11570184192,0.583
cuda,Base,fp32,196,32,0.074989,0.06304,0.149355,83638.84,0.7499,46280736768,0.6172
cuda,Base,fp32,576,1,0.007904,0.003877,0.020365,72871.59,0.079,4586471424,0.5802
cuda,Base,fp32,576,8,0.061828,0.048033,0.127528,74529.63,0.6183,36691771392,0.5935
cuda,Base,fp32,576,32,0.238484,0.18902,0.482373,77288.17,2.3848,1.46767E+11,0.6154
cuda,Base,fp32,1024,1,0.016803,0.01579,0.037136,60942.35,0.168,8858370048,0.5272
cuda,Base,fp32,1024,8,0.11968,0.094827,0.245598,68449.13,1.1968,70866960384,0.5921
cuda,Base,fp32,1024,32,1.304013,1.013945,2.606775,25128.58,13.0401,2.83468E+11,0.2174
cuda,Base,fp16,196,1,0.017438,0.015837,0.035765,11239.92,0.1744,1446273024,0.0829
cuda,Base,fp16,196,8,0.0968,0.076535,0.198135,16198.3,0.968,11570184192,0.1195
cuda,Base,fp16,196,32,0.35275,0.271754,0.720478,17780.32,3.5275,46280736768,0.1312
cuda,Base,fp16,576,1,0.041893,0.031883,0.08799,13749.34,0.4189,4586471424,0.1095
cuda,Base,fp16,576,8,0.274617,0.212837,0.561428,16779.75,2.7462,36691771392,0.1336
cuda,Base,fp16,576,32,1.074048,0.826683,2.192372,17161.25,10.7405,1.46767E+11,0.1366
cuda,Base,fp16,1024,1,0.066206,0.04946,0.137755,15466.76,0.6621,8858370048,0.1338
cuda,Base,fp16,1024,8,0.507396,0.390774,1.036524,16145.17,5.074,70866960384,0.1397
cuda,Base,fp16,1024,32,2.010182,1.548633,4.103455,16301.01,20.1018,2.83468E+11,0.141
cuda,Large,fp32,196,1,0.006367,0.003996,0.018033,30781.69,0.0637,2544926720,0.3997
cuda,Large,fp32,196,8,0.033713,0.029323,0.069084,46509.71,0.3371,20359413760,0.6039
cuda,Large,fp32,196,32,0.13976,0.10917,0.289616,44876.93,1.3976,81437655040,0.5827
cuda,Large,fp32,576,1,0.012265,0.011624,0.025252,46961.29,0.1227,7927234560,0.6463
cuda,Large,fp32,576,8,0.098174,0.075272,0.20573,46936.89,0.9817,63417876480,0.646
