device,model,precision,seq_len,batch,total_vram,peak_allocated,peak_reserved,utilization_pct
cuda,Small,fp32,196,1,4095.7 MiB,21.1 MiB,26.0 MiB,0.5 %
cuda,Small,fp32,196,8,4095.7 MiB,66.1 MiB,86.0 MiB,1.6 %
cuda,Small,fp32,196,32,4095.7 MiB,220.0 MiB,256.0 MiB,5.4 %
cuda,Small,fp32,576,1,4095.7 MiB,195.6 MiB,260.0 MiB,4.8 %
cuda,Small,fp32,576,8,4095.7 MiB,167.3 MiB,260.0 MiB,4.1 %
cuda,Small,fp32,576,32,4095.7 MiB,619.3 MiB,748.0 MiB,15.1 %
cuda,Small,fp32,1024,1,4095.7 MiB,547.6 MiB,748.0 MiB,13.4 %
cuda,Small,fp32,1024,8,4095.7 MiB,283.2 MiB,748.0 MiB,6.9 %
cuda,Small,fp32,1024,32,4095.7 MiB,1084.1 MiB,1612.0 MiB,26.5 %
cuda,Small,fp16,196,1,4095.7 MiB,956.2 MiB,1612.0 MiB,23.3 %
cuda,Small,fp16,196,8,4095.7 MiB,40.2 MiB,1612.0 MiB,1.0 %
cuda,Small,fp16,196,32,4095.7 MiB,121.2 MiB,1612.0 MiB,3.0 %
cuda,Small,fp16,576,1,4095.7 MiB,110.7 MiB,1612.0 MiB,2.7 %
cuda,Small,fp16,576,8,4095.7 MiB,92.6 MiB,1612.0 MiB,2.3 %
cuda,Small,fp16,576,32,4095.7 MiB,333.0 MiB,1612.0 MiB,8.1 %
cuda,Small,fp16,1024,1,4095.7 MiB,301.0 MiB,1612.0 MiB,7.3 %
cuda,Small,fp16,1024,8,4095.7 MiB,153.4 MiB,1612.0 MiB,3.7 %
cuda,Small,fp16,1024,32,4095.7 MiB,577.3 MiB,1612.0 MiB,14.1 %
cuda,Base,fp32,196,1,4095.7 MiB,545.6 MiB,1612.0 MiB,13.3 %
cuda,Base,fp32,196,8,4095.7 MiB,139.4 MiB,1612.0 MiB,3.4 %
cuda,Base,fp32,196,32,4095.7 MiB,445.5 MiB,1612.0 MiB,10.9 %
cuda,Base,fp32,576,1,4095.7 MiB,397.0 MiB,1612.0 MiB,9.7 %
cuda,Base,fp32,576,8,4095.7 MiB,337.4 MiB,1612.0 MiB,8.2 %
cuda,Base,fp32,576,32,4095.7 MiB,1238.4 MiB,2260.0 MiB,30.2 %
cuda,Base,fp32,1024,1,4095.7 MiB,1093.2 MiB,2260.0 MiB,26.7 %
cuda,Base,fp32,1024,8,4095.7 MiB,570.5 MiB,2260.0 MiB,13.9 %
cuda,Base,fp32,1024,32,4095.7 MiB,2173.8 MiB,3988.0 MiB,53.1 %
cuda,Base,fp16,196,1,4095.7 MiB,1924.3 MiB,3988.0 MiB,47.0 %
cuda,Base,fp16,196,8,4095.7 MiB,77.3 MiB,3988.0 MiB,1.9 %
cuda,Base,fp16,196,32,4095.7 MiB,239.9 MiB,3988.0 MiB,5.9 %
cuda,Base,fp16,576,1,4095.7 MiB,217.8 MiB,3988.0 MiB,5.3 %
cuda,Base,fp16,576,8,4095.7 MiB,183.8 MiB,3988.0 MiB,4.5 %
cuda,Base,fp16,576,32,4095.7 MiB,661.0 MiB,3988.0 MiB,16.1 %
cuda,Base,fp16,1024,1,4095.7 MiB,595.0 MiB,3988.0 MiB,14.5 %
cuda,Base,fp16,1024,8,4095.7 MiB,304.8 MiB,3988.0 MiB,7.4 %
cuda,Base,fp16,1024,32,4095.7 MiB,1152.3 MiB,3988.0 MiB,28.1 %
cuda,Large,fp32,196,1,4095.7 MiB,1081.1 MiB,3988.0 MiB,26.4 %
cuda,Large,fp32,196,8,4095.7 MiB,192.7 MiB,3988.0 MiB,4.7 %
cuda,Large,fp32,196,32,4095.7 MiB,601.9 MiB,3988.0 MiB,14.7 %
cuda,Large,fp32,576,1,4095.7 MiB,536.9 MiB,3988.0 MiB,13.1 %
cuda,Large,fp32,576,8,4095.7 MiB,458.0 MiB,3988.0 MiB,11.2 %
cuda,Large,fp32,576,32,4095.7 MiB,1659.6 MiB,3988.0 MiB,40.5 %
cuda,Large,fp32,1024,1,4095.7 MiB,1465.6 MiB,3988.0 MiB,35.8 %
cuda,Large,fp32,1024,8,4095.7 MiB,768.8 MiB,3988.0 MiB,18.8 %
cuda,Large,fp32,1024,32,4095.7 MiB,2906.7 MiB,5524.0 MiB,71.0 %
cuda,Large,fp16,196,1,4095.7 MiB,2579.1 MiB,5524.0 MiB,63.0 %
cuda,Large,fp16,196,8,4095.7 MiB,104.3 MiB,5524.0 MiB,2.5 %
cuda,Large,fp16,196,32,4095.7 MiB,320.6 MiB,5524.0 MiB,7.8 %
cuda,Large,fp16,576,1,4095.7 MiB,291.2 MiB,5524.0 MiB,7.1 %
cuda,Large,fp16,576,8,4095.7 MiB,245.0 MiB,5524.0 MiB,6.0 %
cuda,Large,fp16,576,32,4095.7 MiB,880.4 MiB,5524.0 MiB,21.5 %
cuda,Large,fp16,1024,1,4095.7 MiB,792.4 MiB,5524.0 MiB,19.3 %
cuda,Large,fp16,1024,8,4095.7 MiB,408.8 MiB,5524.0 MiB,10.0 %
cuda,Large,fp16,1024,32,4095.7 MiB,1538.7 MiB,5524.0 MiB,37.6 %
