device,model_size,precision,seq_len,batch,mean_latency_sec,p50_sec,p95_sec,throughput_tokens_sec,wall_time_sec,estimated_flops,achieved_tflops
cuda,Small,fp32,196,1,0.00043,0.000386,0.000616,455927.89,0.0043,376320000,0.8754
cuda,Small,fp32,196,8,0.001146,0.000973,0.001878,1368115.64,0.0115,3010560000,2.6268
cuda,Small,fp32,196,32,0.005061,0.003935,0.009904,1239197.44,0.0506,12042240000,2.3793
cuda,Small,fp32,576,1,0.000539,0.000525,0.000616,1067998.37,0.0054,1274019840,2.3622
cuda,Small,fp32,576,8,0.004147,0.00329,0.007986,1111163.34,0.0415,10192158720,2.4577
cuda,Small,fp32,576,32,0.017155,0.013255,0.034663,1074416.32,0.1716,40768634880,2.3764
cuda,Small,fp32,1024,1,0.001395,0.00116,0.002359,734132.25,0.0139,2617245696,1.8764
cuda,Small,fp32,1024,8,0.008868,0.006873,0.017812,923792.91,0.0887,20937965568,2.3611
cuda,Small,fp32,1024,32,0.035715,0.027577,0.072011,917486.06,0.3571,83751862272,2.345
cuda,Small,fp16,196,1,0.000346,0.000329,0.000435,566251.26,0.0035,376320000,1.0872
cuda,Small,fp16,196,8,0.000449,0.000409,0.000595,3495067.58,0.0045,3010560000,6.7105
cuda,Small,fp16,196,32,0.001616,0.001381,0.002775,3881357.2,0.0162,12042240000,7.4522
cuda,Small,fp16,576,1,0.00034,0.000321,0.000437,1694668.28,0.0034,1274019840,3.7483
cuda,Small,fp16,576,8,0.001321,0.001126,0.002222,3488062.23,0.0132,10192158720,7.715
cuda,Small,fp16,576,32,0.005824,0.004737,0.010664,3165097.74,0.0582,40768634880,7.0007
cuda,Small,fp16,1024,1,0.000407,0.000403,0.000427,2516090.98,0.0041,2617245696,6.4309
cuda,Small,fp16,1024,8,0.00296,0.002354,0.005648,2767398.12,0.0296,20937965568,7.0732
cuda,Small,fp16,1024,32,0.01274,0.009877,0.025633,2572024.41,0.1274,83751862272,6.5738
cuda,Base,fp32,196,1,0.000754,0.000696,0.001017,260095.42,0.0075,1446273024,1.9192
cuda,Base,fp32,196,8,0.00392,0.003107,0.007457,400040.67,0.0392,11570184192,2.9519
cuda,Base,fp32,196,32,0.01649,0.013065,0.033031,380341.68,0.1649,46280736768,2.8065
cuda,Base,fp32,576,1,0.001749,0.001425,0.003048,329319.27,0.0175,4586471424,2.6222
cuda,Base,fp32,576,8,0.013721,0.010838,0.027086,335835.26,0.1372,36691771392,2.6741
cuda,Base,fp32,576,32,0.054051,0.041905,0.108569,341011.61,0.5405,146767085568,2.7153
cuda,Base,fp32,1024,1,0.003449,0.002842,0.006429,296904.93,0.0345,8858370048,2.5685
cuda,Base,fp32,1024,8,0.027237,0.020876,0.055388,300765.91,0.2724,70866960384,2.6019
cuda,Base,fp32,1024,32,0.102059,0.078742,0.207094,321070.36,1.0206,283467841536,2.7775
cuda,Base,fp16,196,1,0.000368,0.000329,0.000485,533128.13,0.0037,1446273024,3.9339
cuda,Base,fp16,196,8,0.001066,0.000943,0.001583,1470501.0,0.0107,11570184192,10.8507
cuda,Base,fp16,196,32,0.004848,0.003853,0.009284,1293836.64,0.0485,46280736768,9.5471
cuda,Base,fp16,576,1,0.000455,0.000449,0.000483,1265409.13,0.0046,4586471424,10.076
cuda,Base,fp16,576,8,0.003948,0.003117,0.00761,1167040.2,0.0395,36691771392,9.2927
cuda,Base,fp16,576,32,0.016206,0.012623,0.032346,1137384.82,0.1621,146767085568,9.0566
cuda,Base,fp16,1024,1,0.000933,0.000798,0.001467,1097923.59,0.0093,8858370048,9.4979
cuda,Base,fp16,1024,8,0.007789,0.006248,0.014696,1051679.56,0.0779,70866960384,9.0978
cuda,Base,fp16,1024,32,0.032502,0.025086,0.065674,1008190.54,0.325,283467841536,8.7216
cuda,Large,fp32,196,1,0.001027,0.000924,0.001517,190867.08,0.0103,2544926720,2.4783
cuda,Large,fp32,196,8,0.006593,0.005116,0.013109,237837.0,0.0659,20359413760,3.0882
cuda,Large,fp32,196,32,0.026562,0.020667,0.053481,236129.35,0.2656,81437655040,3.066
cuda,Large,fp32,576,1,0.002592,0.002108,0.004745,222259.76,0.0259,7927234560,3.0589
cuda,Large,fp32,576,8,0.020868,0.016209,0.042023,220814.89,0.2087,63417876480,3.039
cuda,Large,fp32,576,32,0.084147,0.0654,0.168676,219045.49,0.8415,253671505920,3.0146
cuda,Large,fp32,1024,1,0.005138,0.004034,0.010181,199291.33,0.0514,15032385536,2.9256
cuda,Large,fp32,1024,8,0.040635,0.031626,0.08189,201599.42,0.4064,120259084288,2.9595
