device,model,precision,seq_len,batch,total_vram,peak_allocated,peak_reserved,utilization_pct
cuda,Small,fp32,196,1,8150.6 MiB,22.0 MiB,26.0 MiB,0.3 %
cuda,Small,fp32,196,8,8150.6 MiB,67.1 MiB,86.0 MiB,0.8 %
cuda,Small,fp32,196,32,8150.6 MiB,221.0 MiB,256.0 MiB,2.7 %
cuda,Small,fp32,576,1,8150.6 MiB,196.6 MiB,260.0 MiB,2.4 %
cuda,Small,fp32,576,8,8150.6 MiB,168.3 MiB,260.0 MiB,2.1 %
cuda,Small,fp32,576,32,8150.6 MiB,620.3 MiB,748.0 MiB,7.6 %
cuda,Small,fp32,1024,1,8150.6 MiB,548.6 MiB,748.0 MiB,6.7 %
cuda,Small,fp32,1024,8,8150.6 MiB,284.2 MiB,748.0 MiB,3.5 %
cuda,Small,fp32,1024,32,8150.6 MiB,1085.1 MiB,1612.0 MiB,13.3 %
cuda,Small,fp16,196,1,8150.6 MiB,957.2 MiB,1612.0 MiB,11.7 %
cuda,Small,fp16,196,8,8150.6 MiB,41.2 MiB,1612.0 MiB,0.5 %
cuda,Small,fp16,196,32,8150.6 MiB,122.2 MiB,1612.0 MiB,1.5 %
cuda,Small,fp16,576,1,8150.6 MiB,111.7 MiB,1612.0 MiB,1.4 %
cuda,Small,fp16,576,8,8150.6 MiB,93.6 MiB,1612.0 MiB,1.1 %
cuda,Small,fp16,576,32,8150.6 MiB,334.0 MiB,1612.0 MiB,4.1 %
cuda,Small,fp16,1024,1,8150.6 MiB,302.0 MiB,1612.0 MiB,3.7 %
cuda,Small,fp16,1024,8,8150.6 MiB,154.4 MiB,1612.0 MiB,1.9 %
cuda,Small,fp16,1024,32,8150.6 MiB,578.3 MiB,1612.0 MiB,7.1 %
cuda,Base,fp32,196,1,8150.6 MiB,546.6 MiB,1612.0 MiB,6.7 %
cuda,Base,fp32,196,8,8150.6 MiB,140.4 MiB,1612.0 MiB,1.7 %
cuda,Base,fp32,196,32,8150.6 MiB,446.5 MiB,1612.0 MiB,5.5 %
cuda,Base,fp32,576,1,8150.6 MiB,398.0 MiB,1612.0 MiB,4.9 %
cuda,Base,fp32,576,8,8150.6 MiB,338.4 MiB,1612.0 MiB,4.2 %
cuda,Base,fp32,576,32,8150.6 MiB,1239.4 MiB,2260.0 MiB,15.2 %
cuda,Base,fp32,1024,1,8150.6 MiB,1094.2 MiB,2260.0 MiB,13.4 %
cuda,Base,fp32,1024,8,8150.6 MiB,571.5 MiB,2260.0 MiB,7.0 %
cuda,Base,fp32,1024,32,8150.6 MiB,2174.8 MiB,3988.0 MiB,26.7 %
cuda,Base,fp16,196,1,8150.6 MiB,1925.3 MiB,3988.0 MiB,23.6 %
cuda,Base,fp16,196,8,8150.6 MiB,78.3 MiB,3988.0 MiB,1.0 %
cuda,Base,fp16,196,32,8150.6 MiB,240.9 MiB,3988.0 MiB,3.0 %
cuda,Base,fp16,576,1,8150.6 MiB,218.8 MiB,3988.0 MiB,2.7 %
cuda,Base,fp16,576,8,8150.6 MiB,184.8 MiB,3988.0 MiB,2.3 %
cuda,Base,fp16,576,32,8150.6 MiB,662.0 MiB,3988.0 MiB,8.1 %
cuda,Base,fp16,1024,1,8150.6 MiB,596.0 MiB,3988.0 MiB,7.3 %
cuda,Base,fp16,1024,8,8150.6 MiB,305.8 MiB,3988.0 MiB,3.8 %
cuda,Base,fp16,1024,32,8150.6 MiB,1153.3 MiB,3988.0 MiB,14.2 %
cuda,Large,fp32,196,1,8150.6 MiB,1082.1 MiB,3988.0 MiB,13.3 %
cuda,Large,fp32,196,8,8150.6 MiB,193.7 MiB,3988.0 MiB,2.4 %
cuda,Large,fp32,196,32,8150.6 MiB,602.9 MiB,3988.0 MiB,7.4 %
cuda,Large,fp32,576,1,8150.6 MiB,537.9 MiB,3988.0 MiB,6.6 %
cuda,Large,fp32,576,8,8150.6 MiB,459.0 MiB,3988.0 MiB,5.6 %
cuda,Large,fp32,576,32,8150.6 MiB,1660.6 MiB,3988.0 MiB,20.4 %
cuda,Large,fp32,1024,1,8150.6 MiB,1466.6 MiB,3988.0 MiB,18.0 %
cuda,Large,fp32,1024,8,8150.6 MiB,769.8 MiB,3988.0 MiB,9.4 %
cuda,Large,fp32,1024,32,8150.6 MiB,2907.7 MiB,5524.0 MiB,35.7 %
cuda,Large,fp16,196,1,8150.6 MiB,2580.1 MiB,5524.0 MiB,31.7 %
cuda,Large,fp16,196,8,8150.6 MiB,105.3 MiB,5524.0 MiB,1.3 %
cuda,Large,fp16,196,32,8150.6 MiB,321.6 MiB,5524.0 MiB,3.9 %
cuda,Large,fp16,576,1,8150.6 MiB,292.2 MiB,5524.0 MiB,3.6 %
cuda,Large,fp16,576,8,8150.6 MiB,246.0 MiB,5524.0 MiB,3.0 %
cuda,Large,fp16,576,32,8150.6 MiB,881.4 MiB,5524.0 MiB,10.8 %
cuda,Large,fp16,1024,1,8150.6 MiB,793.4 MiB,5524.0 MiB,9.7 %
cuda,Large,fp16,1024,8,8150.6 MiB,409.8 MiB,5524.0 MiB,5.0 %
cuda,Large,fp16,1024,32,8150.6 MiB,1539.7 MiB,5524.0 MiB,18.9 %
