device,model_size,precision,seq_len,batch,mean_latency_sec,p50_sec,p95_sec,throughput_tokens_sec,wall_time_sec,estimated_flops,achieved_tflops
mps,Small,fp32,196,1,0.002874,0.002842,0.003518,68186.49,0.0287,376320000,0.1309
mps,Small,fp32,196,8,0.00622,0.004964,0.011884,252104.25,0.0622,3010560000,0.484
mps,Small,fp32,196,32,0.024277,0.018132,0.0519,258354.11,0.2428,12042240000,0.496
mps,Small,fp32,576,1,0.006588,0.005663,0.010596,87433.2,0.0659,1274019840,0.1934
mps,Small,fp32,576,8,0.023603,0.019047,0.044314,195226.38,0.236,10192158720,0.4318
mps,Small,fp32,576,32,0.096441,0.074605,0.194794,191122.11,0.9644,40768634880,0.4227
mps,Small,fp32,1024,1,0.012629,0.010697,0.021564,81081.33,0.1263,2617245696,0.2072
mps,Small,fp32,1024,8,0.057431,0.045888,0.109495,142640.24,0.5743,20937965568,0.3646
mps,Small,fp32,1024,32,0.238383,0.181433,0.494793,137459.67,2.3838,83751862272,0.3513
mps,Base,fp32,196,1,0.006404,0.005474,0.010691,30605.21,0.064,1446273024,0.2258
mps,Base,fp32,196,8,0.015042,0.012177,0.027903,104239.01,0.1504,11570184192,0.7692
mps,Base,fp32,196,32,0.058551,0.046699,0.111689,107119.41,0.5855,46280736768,0.7904
mps,Base,fp32,576,1,0.019569,0.016118,0.035136,29434.93,0.1957,4586471424,0.2344
mps,Base,fp32,576,8,0.057403,0.046014,0.109118,80274.79,0.574,36691771392,0.6392
mps,Base,fp32,576,32,0.233554,0.180132,0.473861,78919.71,2.3355,146767085568,0.6284
mps,Base,fp32,1024,1,0.039196,0.031417,0.074358,26125.01,0.392,8858370048,0.226
mps,Base,fp32,1024,8,0.13532,0.105974,0.267539,60537.78,1.3532,70866960384,0.5237
mps,Base,fp32,1024,32,6.423477,5.194497,12.473676,5101.29,64.2348,283467841536,0.0441
mps,Large,fp32,196,1,0.014204,0.008947,0.037985,13798.81,0.142,2544926720,0.1792
mps,Large,fp32,196,8,0.027317,0.018704,0.066242,57400.56,0.2732,20359413760,0.7453
mps,Large,fp32,196,32,0.092615,0.072112,0.185039,67721.45,0.9261,81437655040,0.8793
mps,Large,fp32,576,1,0.033581,0.027159,0.06255,17152.3,0.3358,7927234560,0.2361
mps,Large,fp32,576,8,0.086479,0.068707,0.167131,53284.88,0.8648,63417876480,0.7333
mps,Large,fp32,576,32,0.463193,0.271678,1.295361,39793.37,4.6319,253671505920,0.5477
mps,Large,fp32,1024,1,0.062736,0.051548,0.113972,16322.4,0.6274,15032385536,0.2396
mps,Large,fp32,1024,8,0.202653,0.153881,0.422643,40423.85,2.0265,120259084288,0.5934
mps,Large,fp32,1024,32,2.454801,1.947026,5.699908,13348.54,24.548,481036337152,0.196
