device,model_size,precision,seq_len,batch,mean_latency_sec,p50_sec,p95_sec,throughput_tokens_sec,wall_time_sec,estimated_flops,achieved_tflops
cpu,Small,fp32,196,1,0.014804,0.014627,0.017685,13239.38,0.148,376320000,0.0254
cpu,Small,fp32,196,8,0.118047,0.118766,0.127202,13282.83,1.1805,3010560000,0.0255
cpu,Small,fp32,196,32,0.44171,0.439155,0.463192,14199.37,4.4171,12042240000,0.0273
cpu,Small,fp32,576,1,0.065806,0.066562,0.070271,8753.02,0.6581,1274019840,0.0194
cpu,Small,fp32,576,8,0.52433,0.524355,0.549964,8788.36,5.2433,10192158720,0.0194
cpu,Small,fp32,576,32,1.86696,1.873521,1.915204,9872.73,18.6696,40768634880,0.0218
cpu,Small,fp32,1024,1,0.166088,0.164452,0.180902,6165.39,1.6609,2617245696,0.0158
cpu,Small,fp32,1024,8,1.216282,1.212093,1.264154,6735.28,12.1628,20937965568,0.0172
cpu,Small,fp32,1024,32,4.537507,4.519051,4.717056,7221.59,45.3751,83751862272,0.0185
cpu,Base,fp32,196,1,0.036969,0.038282,0.041017,5301.7,0.3697,1446273024,0.0391
cpu,Base,fp32,196,8,0.271465,0.271808,0.284921,5776.06,2.7147,11570184192,0.0426
cpu,Base,fp32,196,32,0.98017,0.981356,1.026156,6398.89,9.8017,46280736768,0.0472
cpu,Base,fp32,576,1,0.150852,0.152407,0.16357,3818.31,1.5085,4586471424,0.0304
cpu,Base,fp32,576,8,1.193686,1.158658,1.319421,3860.31,11.9369,36691771392,0.0307
cpu,Base,fp32,576,32,3.924183,3.923604,3.977033,4697.03,39.2418,146767085568,0.0374
cpu,Base,fp32,1024,1,0.351873,0.348366,0.367666,2910.14,3.5187,8858370048,0.0252
cpu,Base,fp32,1024,8,2.455871,2.472046,2.484967,3335.68,24.5587,70866960384,0.0289
cpu,Base,fp32,1024,32,9.221184,9.166982,9.461383,3553.56,92.2118,283467841536,0.0307
cpu,Large,fp32,196,1,0.058524,0.05412,0.090739,3349.06,0.5852,2544926720,0.0435
cpu,Large,fp32,196,8,0.351398,0.351043,0.366444,4462.17,3.514,20359413760,0.0579
cpu,Large,fp32,196,32,1.347202,1.340908,1.397244,4655.58,13.472,81437655040,0.0604
cpu,Large,fp32,576,1,0.203508,0.201183,0.224939,2830.36,2.0351,7927234560,0.039
cpu,Large,fp32,576,8,1.498934,1.492515,1.612384,3074.19,14.9893,63417876480,0.0423
cpu,Large,fp32,576,32,5.184324,5.178263,5.249323,3555.33,51.8432,253671505920,0.0489
cpu,Large,fp32,1024,1,0.426634,0.427226,0.433543,2400.19,4.2663,15032385536,0.0352
cpu,Large,fp32,1024,8,3.187088,3.19036,3.234181,2570.37,31.8709,120259084288,0.0377
cpu,Large,fp32,1024,32,13.82102,13.824543,14.31064,2370.88,138.2102,481036337152,0.0348
