device,model,precision,seq_len,batch,total_vram,peak_allocated,peak_reserved,utilization_pct
cpu,Small,fp32,196,1,Unified Memory,N/A,N/A,N/A
cpu,Small,fp32,196,8,Unified Memory,N/A,N/A,N/A
cpu,Small,fp32,196,32,Unified Memory,N/A,N/A,N/A
cpu,Small,fp32,576,1,Unified Memory,N/A,N/A,N/A
cpu,Small,fp32,576,8,Unified Memory,N/A,N/A,N/A
cpu,Small,fp32,576,32,Unified Memory,N/A,N/A,N/A
cpu,Small,fp32,1024,1,Unified Memory,N/A,N/A,N/A
cpu,Small,fp32,1024,8,Unified Memory,N/A,N/A,N/A
cpu,Small,fp32,1024,32,Unified Memory,N/A,N/A,N/A
cpu,Base,fp32,196,1,Unified Memory,N/A,N/A,N/A
cpu,Base,fp32,196,8,Unified Memory,N/A,N/A,N/A
cpu,Base,fp32,196,32,Unified Memory,N/A,N/A,N/A
cpu,Base,fp32,576,1,Unified Memory,N/A,N/A,N/A
cpu,Base,fp32,576,8,Unified Memory,N/A,N/A,N/A
cpu,Base,fp32,576,32,Unified Memory,N/A,N/A,N/A
cpu,Base,fp32,1024,1,Unified Memory,N/A,N/A,N/A
cpu,Base,fp32,1024,8,Unified Memory,N/A,N/A,N/A
cpu,Base,fp32,1024,32,Unified Memory,N/A,N/A,N/A
cpu,Large,fp32,196,1,Unified Memory,N/A,N/A,N/A
cpu,Large,fp32,196,8,Unified Memory,N/A,N/A,N/A
cpu,Large,fp32,196,32,Unified Memory,N/A,N/A,N/A
cpu,Large,fp32,576,1,Unified Memory,N/A,N/A,N/A
cpu,Large,fp32,576,8,Unified Memory,N/A,N/A,N/A
cpu,Large,fp32,576,32,Unified Memory,N/A,N/A,N/A
cpu,Large,fp32,1024,1,Unified Memory,N/A,N/A,N/A
cpu,Large,fp32,1024,8,Unified Memory,N/A,N/A,N/A
cpu,Large,fp32,1024,32,Unified Memory,N/A,N/A,N/A
